Id;Questions;Réponse 1;Réponse 2;Réponse 3;Bonne réponse
0;Quel est le personnage de fiction a la replique sanglante : je suis ton père;Dark Vador;Luke S.;Yoda;1
1;"Qui est celui dont on ne doit pas prononcer le nom?""";Harry P.;Voldemort;Rogue;2
2;Qui a ecrit : les Misérables ?;Victor Hugo;Charles Baudelaire;Chateaubriand;1
3;Quel est le plus petit pays du monde ?;Rwanda;Chypre;Le Vatican;3
4;"Qui a realisé le film ""Avatar"" ?";Steven Spielberg;Sofia Coppola;James Cameron;3
5;"Qui a composé la sonate ""La Lettre à Elise"" ?";Mozart;Beethovven;Wagner;2
6;Qui joue Jack dans Titanic ?;Léonardo Di Caprio;Matt Damon;Brad Pitt;1
7;Quel film français a été réinterprété aux USA ?;Mobius;Intouchables;LOL;3
8;Quel acteur français a eu un oscar pour son rôle dans The Artist ?;Philippe Lelouche;Jean Dujardin;Guillaume;2
9;Quel est le livre le plus vendu au monde?;harry potter;la Bible;Le petit prince;2
10;Quelle est la chanson la plus reprise au monde?;comme d'habitude;la vie en rose;allumez le feu;1
11;Qui a peint la Joconde ?;Picasso;Michelange;De Vinci;3
12;Combien y a t'il d'habitants en Polynésie au dernier recensement ?;158 230;210 369;275 918;3
13;Combien y a t'il de communes en Polynésie ?;63;48;87;2
14;A quelle commune de l'île de Tahiti l'atoll de Tetiaora est-il rattaché ?;Papeete;Mahina;Arue;3
15;La superficie de l'espace maritime de la Polynésie est équivalente à :;la Chine;l'Europe;l'Australie;2
16;Lequel de ces pays ne fait pas partie de l'Union Européenne;Suède;Norvège;Finlande;2
17;Quand Gollum parle de son 'precieux', il parle :;d'un anneau;d'un diamant;d'un coffre;1
18;Que peut on mesurer avec un rapporteur ?;un angle;une vitesse;une pression;1
19;Laquelle de ces substances est hydrophobe ?;Sucre;Graisse;ADN;2
20;Où vit le Dingo ?;Australie;Afrique du sud;Am‚rique du nord;1
21;Où peut on trouver la ceinture de Van Allen ?;Océan Pacifique;Himalaya;Espace;3
22;Qui a écrit le roman 'Le Grand Meaulnes' ?;Céline;Prévert;Alain-Fournier;3
23;Qu'est ce que l'onychocryptose;Un ongle incarné;Une verrue;Une cicatrice;1
24;Quel président américain n'a pas été assassiné;Abraham Lincoln;James A. Garfield;Herbert Hoover;3
25;Qui est le fondateur d'Amazon ?;Jeff Bezos;Elon Musk;Mark Zuckerberg;1
26;La spéléologie est l'étude des :;Ongulés;Grottes;Roches;2
27;Quelle est la somme des angles dans un carré ?;90;180;360;3
28;Quelle province du Canada est située sur la côte ouest de l'Amérique du nord ?;Nouvelle - Ecosse;Québec;Colombie britannique;3
29;Quel pays produit le plus de charbon;Inde;Etats unis;Chine;3
30;Quelles nations ont combattu à la bataille d'Azincourt en 1415 ?;France et Italie;Angleterre et France;Belgique et Allemagne;2
31;Quelle île se trouve à l'embouchure de l'Amazone ?;Marajo;Mindoro;Riesco;1
32;La lumière est dispersée par le prisme triangulaire à cause de :;l'effet Doppler;la réfraction;l'extinction des ondes;2
33;Quel fleuve coule dans la péninsule Ibérique;Maritsa;Adige;Ebre;3
34;Quel pays a voté la sortie de l'union européenne;L'Autriche;Le Royaume Uni;La Norvège;2
35;Pourquoi les ours polaires se couchent-ils dans la neige lorsqu'ils courent ?;Se rafraîchir;Se reposer;Dormir;1
36;Quelle partie du corps permet aux hippocampes de nager ?;Nageoire dorsale;Nageoire ventrale;Tête;1
37;Pour quelle raison ne pouvons-nous pas entendre les cris de la chauve-souris ?;Trop aigu;Trop faible;Trop grave;1
38;À quoi servait la coquille du tridacne géant dans de nombreuses églises ?;Bénitier;Chandelier;Tronc;1
39;Quelle lourde et pénible tâche incombe à la reine des fourmis ?;Chercher à manger;Défendre le nid;Pondre des oeufs;3
40;Qu'est-ce que les coccinelles aiment tout particulièrement manger ?;Éxcréments;Pétales;Pucerons;3
41;Pour quelle raison les nécrophores se battent-ils entre eux ?;Un territoire;Des femelles;Des cadavres;3
42;De quel type d'environnement un acarien a-t-il besoin pour vivre ?;Gras;Sec;Humide;3
43;Quelle partie du corps de la limace lui permet-elle de découper les plantes ?;Palais;Dents;Langue;3
44;Quelle partie du corps montre le loup le plus faible après une lutte pour la hiérarchie ?;Ses dents;Sa langue;Son ventre;3
45;Quelle est la cause de mortalité la plus fréquente chez les éléphants en liberté ?;Maladie;Trompe cassée;Usure des dents;3
46;Grâce à quelle partie de son corps la taupe s'oriente-t-elle sous terre ?;Museau;Yeux;Vibrisses;3
47;À part le cheval, à quel autre animal le tapir est-il apparenté ?;Cochon;Éléphant;Rhinocéros;3
48;Comment les mille-pattes se protègent-ils de leurs prédateurs ?;En criant;Par leurs sécrétions;Par camouflage;2
49;Quels animaux volent souvent aux hyènes la proie qu'elles ont chassée ?;Gnous;Lions;Guépards;2
50;Combien pèse environ la plus petite espèce de musaraigne connue ?;20 grammes;2 grammes;70 grammes;2
51;De quelle manière le lynx a-t-il l'habitude de marquer son territoire ?;Excréments;Éraflures;Poils;2
52;Taillé pour la course, jusqu'à quelle vitesse un guépard peut-il courir ?;90 km/h;120 km/h;60 km/h;2
53;Comment les cloportes se protègent-ils des attaques ?;En s'enfuyant;En s'enroulant;En s'enterrant;2
54;Quel animal est le plus grand ennemi connu de la buse variable ?;Renard;Homme;Aigle;2
55;Après combien de temps un bébé tigre reçoit-il de la viande pour la première fois ?;Un mois;Six mois;Un an;2
56;Combien de litres de lait une vache performante produit-elle chaque jour ?;25 l;35 l;15 l;2
57;De quelle fonction vitale le fennec peut-il étonnamment se passer ?;Manger;Boire;Dormir;2
58;Quel est le plus grand des aras parmi les perroquets connus à ce jour ?;Macao;Hyacinthe;Ararauna;2
59;De manière générale, combien d'heures par jour un panda géant est-il occupé à manger ?;Douze;Seize;Huit;2
60;Combien de temps un bébé morse est-il allaité par sa mère ?;1 mois;18 mois;6 mois;2
61;Pour quelle raison les martres tuent-elles parfois les poules ?;Pattes;Sang;Foie;2
62;De quoi est constituée la sonnette du serpent à sonnette ?;Bois;Corne;Calcaire;2
63;Durant quelle saison de l'année peut-on entendre le hibou crier ?;Été;Printemps;Automne;2
64;De combien de piquants est composée la fourrure du hérisson mâle ?;12 000;16 000;8 000;2
65;Quel os, composé de 6 os soudés, est le plus grand du corps humain ?;Le bassin;La hanche;La rotule;1
66;Combien de neurones un cerveau en pleine possession de ses capacités contient-il ?;14 milliards;12 millions;10 mille;1
67;Quel os du corps humain est à peine plus grand qu'un grain de riz ?;L'étrier;La mandibule;L'occipital;1
68;Combien d'os même minuscules comptabilise-t-on dans chacune de nos oreilles externes ?;Aucun;Trois;Six;1
69;Combien de vertèbres thoraciques ou dorsales s'articulent avec les côtes ?;12;6;18;1
70;De combien de muscles différents les abdominaux sont-ils formés ?;Quatre;Six;Huit;1
71;Quelle partie du corps secrète des substances anti-bactériennes qui détruisent les spores ?;La peau;Les cheveux;Les dents;1
72;Combien de dents de lait sont remplacées à partir de 6 ans par 32 dents définitives ?;20;14;26;1
73;Combien de paires de côtes constitue la partie avant du squelette humain ?;12;24;6;1
74;Quelle partie du corps humain protège la partie inférieure du tube digestif ?;Sternum;Coccyx;Tibia;2
75;De manière générale, quel pourcentage du poids du corps les muscles représentent-ils ?;25 %;35 %;45 %;2
76;Combien de globules rouges peut-on retrouver dans une simple goutte de sang ?;600 000;5 000 000;90 000;2
77;Quelle est la durée de vie moyenne d'un globule rouge dans l'organisme ?;3 semaines;4 mois;2 jours;2
78;Quelle quantité de nourriture un adulte consomme-t-il environ chaque année ?;200 kilos;500 kilos;800 kilos;2
79;À combien a été mesurée la vitesse record d'un éternuement ?;145 km/h;165 km/h;125 km/h;2
80;Quelle quantité d'eau perd-on environ par jour en respirant ?;2 litres;1 litre;3 litres;2
81;Combien de poils comptabilise-t-on environ sur la surface de la peau d'un adulte ?;2 millions;1 million;3 millions;2
82;Lequel de ces gaz n'est pas un gaz essentiel du corps humain ?;Oxygène;Sarin;Carbone;2
83;Combien de cheveux perdons-nous chaque jour en moyenne ?;170;80;240;2
84;La main d'un individu adulte comporte combien d'os ?;20;26;32;2
85;De combien d'os le squelette du bébé, sorti du ventre de sa mère, est-il constitué ?;250;350;150;2
86;Environ combien de globules sanguins meurent chaque seconde dans notre organisme ?;10 000;2 000 000;900;2
87;Quel très long muscle va de l'extérieur de la hanche à la face interne du genou ?;Tibial;Biceps;Sartorius;3
88;En combien de temps un globule rouge fait-il le tour complet de notre corps ?;1 heure;1 seconde;1 minute;3
89;Combien de litres de salive produit-on en moyenne chaque jour ?;4,5;3;1,5;3
90;Quel muscle situé au fond de l'oreille ne mesure que 2 millimètres de long ?;Orbiculaire;Temporal;Stapédien;3
91;Au repos, combien de litres d'air un adulte inspire-t-il et expire-t-il par minute ?;8;4;6;3
92;Des pieds à la tête, combien de muscles squelettiques compte notre corps ?;200;400;600;3
93;En moyenne, combien de fois le coeur bat-il au cours d'une vie entière ?;300 mille;500 millions;3 milliards;3
94;Quelle est la durée de vie maximum d'un cheveu poussant sur la tête d'un individu ?;1 an;3 ans;5 ans;3
95;Quel film à succès a réuni sur les écrans Sean Connery et Christophe Lambert ?;« Highlander »;« Subway »;« Mad Max »;1
96;Quel pays, dont les premiers habitants étaient des Newars, a pour capitale Katmandou ?;Népal;Tibet;Corée du Nord;1
97;Dans quel film John Travolta incarne-t-il un ange tombé du ciel ?;« Michael »;« Johnny »;« Sam »;1
98;Pour quel auteur-compositeur-interprète aux 40 millions de disques Capri est-il fini ?;Hervé Vilard;Salvatore Adamo;Serge Lama;1
99;Quel peintre, né en 1844, est également appelé par beaucoup le Douanier ?;Henri Rousseau;Pablo Picasso;Edgar Degas;1
100;Quel personnage imaginaire fut popularisé par le roman de E.R. Burroughs et par le cinéma ?;Tarzan;King-Kong;Nessie;1
101;Quelle est la seule valeur à la roulette à porter la couleur verte ?;Zéro;Quarante;Cinquante;1
102;Quelle est la race du chien de Columbo, l'inspecteur obstiné et perspicace de la télé ?;Basset;Beagle;Bichon;1
103;Quelle est la plus petite unité de mémoire utilisable sur un ordinateur ?;Bit;Byte;Giga;1
104;Dans le langage familier, comment appelle-t-on la dent du petit enfant ?;Menotte;Quenotte;Bouillotte;2
105;Où se situe la célèbre base navale américaine de Guantanamo, réputée pour sa sévérité ?;Mexique;Cuba;Hawaii;2
106;Quelle est la spécialité du sportif tunisien Oussama Mellouli ?;Marathon;Natation;Football;2
107;Quel acteur français a remporté le premier rôle dans le film « Le Guépard » ?;Claude Brasseur;Alain Delon;Jean Gabin;2
108;Qui était le compagnon de Paul de Tarse, désigné aussi sous le nom de saint Paul ?;Saint Matthieu;Saint Luc;Saint Jean;2
109;Quel titre de noblesse est immédiatement inférieur à celui de comte ?;Marquis;Vicomte;Duc;2
110;Quelle est la capitale de la Nouvelle-Zélande, au sud-ouest de l'océan Pacifique ?;Dublin;Wellington;Sydney;2
111;Quel film a réuni sur les écrans Isabelle Adjani et Sharon Stone ?;« Les sorcières »;« Diabolique »;« Ange et Démon »;2
112;Comment est également appelée la Transat Jacques Vabre ?;Route du rhum;Route du café;Trophée du rhum;2
113;Quel oiseau vivant dans l'hémisphère nord nage le plus vite ?;Bécassine;Pingouin;Martinet;2
114;Quelle est la plus grosse des planètes de notre Système solaire ?;Saturne;Jupiter;Uranus;2
115;Apparu il y a 450 millions d'années, à quelle classe animale le scorpion appartient-il ?;Reptiles;Arachnides;Insectes;2
116;Quel frère d'une actrice prénommée Mary a réalisé le film « La fièvre du samedi soir » ?;John Payne;John Travolta;John Badham;3
117;Au Moyen Âge, comment appelait-on un village fortifié ?;Rempart;Château fort;Bastide;3
118;Quelle ville du Kent est célèbre pour sa source miraculeuse ?;Dartford;Gillingham;Tunbridge Wells;3
119;Quel apéritif à base de vin est aromatisé avec des plantes amères et toniques ?;Gentiane;Kokebok;Vermouth;3
120;À quel écrivain, membre de l'Académie française, doit-on le roman intitulé « Le sagouin » ?;Camus;Giono;Mauriac;3
121;Quel président Français trouva la mort dans une situation inhabituelle ?;Georges Pompidou;René Coty;Félix Faure;3
122;Comment appelle-t-on le versant de la montagne non situé au soleil ?;Étant;Adret;Ubac;3
123;Quel oiseau palmipède a pour particularité de construire un nid flottant ?;Grève;Grèle;Grèbe;3
124;Un bédane, qui doit son nom à sa ressemblance avec un bec de canard, est un outil proche du...;Vilebrequin;Maillet;Ciseau à bois;3
125;Quel poisson faut-il pêcher pour obtenir du caviar à moindre coût ?;Esturgeon;Carpe;Sandre;1
126;Qu'y a-t-il dans un cappuccino et pas dans un expresso ni même dans un café viennois ?;Du lait;Du sucre;Du café;1
127;Qu'est-ce qu'un blini, dont le nom vient du vieux slave « mlin », qui signifie « moudre » ?;Une crêpe;Une gaufre;Un gâteau;1
128;Quel fruit sert à la préparation d'un apfelstrudel, gâteau traditionnel autrichien ?;Pomme;Poire;Prune;1
129;Qu'y a-t-il dans un chili con carne en plus des haricots pimentés à la tomate ?;De la viande;Du sucre;Des ananas;1
130;Où fabrique-t-on le mousseux italien nommé « Asti Spumante » ?;Asti;Turin;Rivoli;1
131;Que trouve-t-on dans le sushi et dans le gohan japonais, cuit à l'eau sans aucun condiment ?;Du riz;Du saumon;Du canard;1
132;Les feuilles de quelle plante met-on dans le thé au Maroc ?;La menthe;L'anis;Le bleuet;1
133;Quelle ville située à l'est de Milan a donné son nom à un fromage bleu au goût prononcé ?;Gorgonzola;Dresano;Corbetta;1
134;Que mettent les ménagères anglaises dans le Christmas Cake pour mieux le conserver ?;Un alcool;De la gélatine;De la crème;1
135;Quelle est la forme traditionnelle des samoussas dans tout l'océan indien ?;Triangulaire;Carrée;Ovale;1
136;Que vous offre votre hôte Chinois quand il vous propose du « cha » ?;Du thé;Du café;Du chocolat;1
137;Quelle est la manière de cuisiner avec du beurre salé, du poivre et du jus de citron ?;Citronnée;Meunière;Beurrière;2
138;Avec quoi est fait le sashimi, mets traditionnel de la gastronomie japonaise ?;Du porc salé;Du poisson cru;Du vin blanc;2
139;Qu'est-ce qu'une bombilla glissée dans le thé en Argentine ?;Une cerise;Une paille;Une cuillère;2
140;Que prenez-vous au petit-déjeuner à Osaka si vous vous pressez un mikan ?;Un milk-shake;Un jus d'orange;Un thé;2
141;En Chine, à quel moment utilise-t-on avec dextérité des kuaizi ?;En se levant;Au repas;Avant de dormir;2
142;Quels champignons met-on dans le riz du « djon-djon » haïtien ?;Rouges;Verts;Noirs;3
143;Quel est l'ingrédient principal d'un lassi que l'on peut boire en Inde ?;Le miel;Le vin;Le yaourt;3
144;Qu'est-ce que l'allium sativum, qui entre dans la composition de presque tous les plats coréens ?;Du céleri;Du cumin;De l'ail;3
145;Quel contient le calalou que l'on vous proposera à la période de Pâques dans les Antilles ?;Du sanglier;Du faisan;Du crabe;3
146;Comment est le chocolat des confiseries nommées « gianduiotti » en Italie ?;Aux amandes;Aux fruits confits;Aux noisettes;3
147;Quel morceau de choix vous invite-t-on à gober au milieu d'un repas en Arabie Saoudite ?;Queue de chat;Coeur de souris;Oeil de mouton;3
148;Que mettent les Tibétains à fermenter afin de pouvoir boire le chang, leur bière locale ?;Du fromage;Du sel;Du riz;3
149;Avec la purée de quel fruit est fait le nectar arabe appelé kanar-eldin ?;Poire;Pomme;Abricot;3
150;Quelle propriété contient l'ail qui intervient dans presque tous les plats coréens ?;Antalgique;Diurétique;Aphrodisiaque;3
151;Que vous fournira-t-on avec le sel pour mettre sur vos frites en Angleterre ?;Du lait;Du sucre;Du vinaigre;3
152;Qu'y a-t-il dans le miod, célèbre boisson polonaise, préférée des dieux de l'Olympe ?;Vodka;Raisin;Miel;3
153;Quel est l'ingrédient de base des rasgulla, confiseries indiennes traditionnelles ?;La pomme;Le miel;Le lait;3
154;À quelle boisson les Tibétains rajoutent-ils leur tsampa matinal ?;Au champagne;Au vin;Au thé;3
155;En quelle année a eu lieu le terrible accident nucléaire de Fukushima ?;2011;2013;2007;1
156;Quel billet de banque en euros a été le plus utilisé en 2012 par la population ?;50 euros;20 euros;100 euros;1
157;Quelle animatrice télé est régulièrement appelée la « maroufleuse du Paf » ?;Valérie Damidot;Karine Le Marchand;Cristina Cordula;1
158;Quel est le titre du seul et unique album de France Gall en duo avec Michel Berger ?;« Double Jeu »;« France »;« Babacar »;1
159;Quelle ville allemande est devenue la capitale mondiale de la jeunesse branchée ?;Berlin;Munich;Cologne;1
160;Quelle série télé présente un prof de chimie reconverti en redoutable dealer ?;« Breaking Bad »;« Mad Men »;« Broken Tall »;1
161;Quelle actrice tient une place à part dans le musée du cinéma de Berlin ?;Marlene Dietrich;Maria Orska;Anita Berber;1
162;Combien de marches sont recouvertes par le célèbre tapis rouge au festival de Cannes ?;24;20;28;1
163;Qui a été la chanteuse de moins de 30 ans la mieux payée en 2011 ?;Lady Gaga;Taylor Swift;Beyoncé;1
164;Quelle série télé revisite le film culte « Psychose » du célèbre Alfred Hitchcock ?;« The Blacklist »;« Bates Motel »;« Switched »;2
165;Quelle actrice fut durant 25 ans la muse de John Cassavetes ?;Lily Tomlin;Gena Rowlands;Jo Kennedy;2
166;Quel Rolling Stone a été retrouvé mort au fond de sa piscine le 3 juillet 1969 ?;Ian Stewart;Brian Jones;Mick Taylor;2
167;Quel acteur interprète Tommy Lee Jones jeune dans le film « Men in Black 3 » ?;Sam Shepard;Josh Brolin;Jeff Bridges;2
168;Quel people français a inventé le concept de la « bogossitude » ?;Massimo Gargia;Mickael Vendetta;Henri Leconte;2
169;Combien de CD contient le coffret intégral des 15 ans de la disparition de Barbara ?;10;12;8;2
170;Dans quelle ville est basée la maison-mère du site de micro-blogging Twitter ?;Miami;San Francisco;New York;2
171;Quel projet signé le 15 juin 2012 a pour but de promouvoir Wikipédia en Afrique ?;Afrisson;Afripédia;Wikipeplum;2
172;Quel groupe hype de la chanson française est formé par Aurélie Saada et Sylvie Hoarau ?;Zap Mama;Brigitte;Nina Sky;2
173;Quel album du musicien Usher a passé le cap des 10 millions de ventes aux États-Unis ?;« 8701 »;« Confessions »;« My Way »;2
174;Quels cancrelats au format XXL ont envahi en 2012 la ville de Naples ?;Araignées;Termites;Cafards;3
175;Depuis quand un arrêté interdit-il de consommer du poisson pêché dans la Seine ?;2013;2007;2010;3
176;Quelle série télévisée musicale est présentée comme un « Glee » pour adultes ?;« Performers »;« Galavant »;« Smash »;3
177;Quelle multinationale a signé la plus longue tournée jamais réalisée par Indochine ?;Villa Musica;Buena Vista;Live Nation;3
178;Quel super-héros a été créé en 2008 par le musicien Arthur H ?;H Tag;Super H;H-Man;3
179;Combien de morts la peste a-t-elle fait à Marseille le 25 mai 1720 ?;60 000;20 000;40 000;3
180;Le 24 mai 1626, qui a acheté Manhattan aux Indiens pour moins de 700 euros ?;Louis Hennepin;Michel Coignet;Pierre Minuit;3
181;Quelles célèbres fêtes taurines ont lieu chaque année en Espagne ?;Saint-Jean;Abril;San Fermin;3
182;Quel malware a été mis au point en 2006 par six Estoniens et un Russe ?;« Tchernobyl »;« Vendredi 13 »;« DNS Changer »;3
183;Quel groupe musical emmené par Mike Patton est coutumier des reprises improbables ?;Fishbone;Maroon 5;Faith No More;3
184;Quelle application propose un accès Internet gratuit partout dans le monde ?;BearShare;Picogen;Open Garden;3
185;Qui fut nommé 46e Président des États-Unis sur les marches du Capitole ?;Joe Biden;Donald Trump;Barack Obama;1
186;Quel événement sportif majeur de 2020 s'est finalement déroulé en 2021 ?;Euro 2020;Roland-Garros;Super Bowl;1
187;Quel français a passé une bonne partie de l'année 2021 à bord de l'ISS ?;Thomas Pesquet;Patrick Baudry;Philippe Perrin;1
188;Quelle commémoration des attentats du 11 septembre fut célébrée en 2021 ?;La vingtième;La quinzième;La dixième;1
189;Qui a remporté son 7ème Ballon d'Or, douze ans après avoir reçu le premier ?;Lionel Messi;Cristiano Ronaldo;Sergio Ramos;1
190;Quel virus a monopolisé les esprits et les médias durant toute l'année 2021 ?;COVID-19;HTLV-1;Hépatite F;1
191;Outre-Rhin, quelle chancelière a cédé sa place suite aux élections législatives ?;Angela Merkel;Steffi Lemke;Kristina Schröder;1
192;Quel pays est devenu, suite au BREXIT, un pays tiers de l'Union Européenne ?;Royaume-Uni;Portugal;Grèce;1
193;Qui a signé en 2021 une loi lui permettant de rester au pouvoir en Russie jusqu'en 2036 ?;Vladimir Poutine;Dmitri Medvedev;Boris Eltsine;1
194;Aux États-Unis, quel bâtiment fut pris d'assaut le 6 janvier 2021 ?;Capitole;Lincoln Memorial;Maison-Blance;1
195;Quel chanteur comique et populaire belge nous a quitté fin 2021 ?;Grand Jojo;Arno;Monsieur R;1
196;Quel ancien président français fut jugé en 2021 dans l'affaire des écoutes ?;Nicolas Sarkozy;François Hollande;Jacques Chirac;1
197;Quel membre de la famille royale britannique nous a quitté le 9 avril 2021 ?;Philip Mountbatten;Édouard VIII;Ernest-Auguste;1
198;Quel cycliste a remporté l'édition 2021 du Tour de France ?;Jonas Vingegaard;Tadej Pogacar;Richard Carapaz;2
199;Quelle société a changé de nom pour se transformer en Meta ?;Microsoft;Facebook;Google;2
200;En 2021, quel groupe a annoncé sa séparation dans une vidéo originale sur Youtube ?;Indochine;Daft Punk;Niagara;2
201;Qui est devenue la première femme noire à entrer au Panthéon ?;Ella Fitzgerald;Joséphine Baker;Aretha Franklin;2
202;Quel homme politique et homme d'affaires français nous a quitté en octobre 2021 ?;Louis Mermaz;Bernard Tapie;Jean-Louis Bianco;2
203;Qui a remporté en 2021 le tournoi de tennis simple messieurs de Roland Garros ?;Rafael Nadal;Novak Djokovic;Roger Federer;2
204;Quel multi-milliardaire britannique a effectué le premier vol privé dans l'espace ?;James Christie;Richard Branson;Edgar Abbott;2
205;Quel anniversaire de la révolution du jasmin la Tunisie a-t-elle fêté en 2021 ?;Les 5 ans;Les 10 ans;Les 15 ans;2
206;Quelle astromobile a atterrit en janvier 2021 sur la planète Mars ?;Opportunity;Perseverance;Spirit;2
207;Dans quelle ville s'est ouverte l'Exposition universelle de 2021 ?;Astana;Dubaï;Milan;2
208;Quel premier animateur de l'émission Koh-Lanta nous a quitté en 2021 ?;Cyril Despres;Cyril Neveu;Hubert Auriol;3
209;Quel ex casino des États-Unis fut complètement détruit avec 3 000 bâtons de dynamite ?;Grand Hôtel;Estoril;Trump Plaza;3
210;Qui est devenu le premier champion du monde français de MotoGP ?;Marc Marquez;Joan Mir;Fabio Quartararo;3
211;Quel pays fut frappé début 2021 par un séisme de magnitude 6.2 ?;Afrique du Sud;Angola;Indonésie;3
212;En 2021, dans quelle ville s'est déroulé le Concours Eurovision de la chanson ?;Zurich;Rome;Rotterdam;3
213;Long de 400 mètres, quel navire s'est retrouvé coincé en travers du canal de Suez ?;MSC Napoli;Costa Allegra;Ever Given;3
214;Quelle somme un français a-t-il remporté à l'EuroMillions du 15 octobre 2021 ?;260 millions;180 millions;220 millions;3
